captured_on,category,scope,metric,value,unit,lower,upper,sample_size,source_url,notes
2026-07-27,ownership,US adults 2025,smartphone_ownership,91,percent,,,5022,https://www.pewresearch.org/internet/fact-sheet/mobile/,Representative address-based survey
2026-07-27,placement,Melbourne men 2018-2019,phone_on_table_or_desk_indoors,54,percent,,,356,https://doi.org/10.1371/journal.pone.0269457,Convenience sample; often or very often when not in use
2026-07-27,market,Global computer mouse 2025,mouse_asp,38,USD,,,,https://dataintelo.com/report/computer-mouse-market,Commercial market estimate; public methodology insufficient for independent reproduction
2026-07-27,market,Global standard mousepad segment 2025,standard_pad_asp_range,,USD,5,15,,https://dataintelo.com/report/mousepad-market,Commercial segment estimate; not market-wide pad ASP
2026-07-27,footprint,Razer Gigantus V2 Medium,pad_area,153.46,in2,,,,https://www.razer.com/gaming-mouse-mats/razer-gigantus-v2,14.17 x 10.83 inches
2026-07-27,footprint,Razer Gigantus V2 Large,pad_area,278.74,in2,,,,https://www.razer.com/gaming-mouse-mats/razer-gigantus-v2,17.72 x 15.73 inches
2026-07-27,work_surface,IBM minimum individual work surface,work_surface_area,1152,in2,,,,https://www.ibm.com/design/workplace/space-types/individual/approach/,48 x 24 inches; design guidance not market average
2026-07-27,work_surface,IBM recommended individual work surface,work_surface_area,1800,in2,,,,https://www.ibm.com/design/workplace/space-types/individual/approach/,60 x 30 inches; design guidance not market average
2026-07-27,market,US compact writing desk 2026,desk_asp_range,,USD,170,190,,https://www.indexbox.io/store/united-states-kw-compact-writing-desk-840-market-analysis-forecast-size-trends-and-insights/,Commercial estimate based on retail scanner and trade shipment estimates
2026-07-27,workspace,UK home workers 2024,own_office,41.1,percent,,,2543,https://orca.cardiff.ac.uk/id/eprint/184858/1/Industrial%20Relations%20Journal%20-%202026%20-%20Felstead%20-%20The%20Spatial%20Anatomy%20of%20Working%20at%20Home%20Concepts%20Measures%20and%20Types%20of.pdf,Weighted Skills and Employment Survey
2026-07-27,workspace,UK home workers 2024,shared_office,5.5,percent,,,2543,https://orca.cardiff.ac.uk/id/eprint/184858/1/Industrial%20Relations%20Journal%20-%202026%20-%20Felstead%20-%20The%20Spatial%20Anatomy%20of%20Working%20at%20Home%20Concepts%20Measures%20and%20Types%20of.pdf,Weighted Skills and Employment Survey
2026-07-27,workspace,UK home workers 2024,corner_workstation,24.8,percent,,,2543,https://orca.cardiff.ac.uk/id/eprint/184858/1/Industrial%20Relations%20Journal%20-%202026%20-%20Felstead%20-%20The%20Spatial%20Anatomy%20of%20Working%20at%20Home%20Concepts%20Measures%20and%20Types%20of.pdf,Weighted Skills and Employment Survey
2026-07-27,workspace,UK home workers 2024,other_purpose_space,28.6,percent,,,2543,https://orca.cardiff.ac.uk/id/eprint/184858/1/Industrial%20Relations%20Journal%20-%202026%20-%20Felstead%20-%20The%20Spatial%20Anatomy%20of%20Working%20at%20Home%20Concepts%20Measures%20and%20Types%20of.pdf,Weighted Skills and Employment Survey
